ID_Venta,Fecha_Venta,Modelo_Auto,Cantidad,Precio_Unitario,Tarjeta_De_Credito
1,27/3/2011,190E,9,18241.50,5100142527757817
2,8/5/2005,Caravan,9,12797.00,5100142791583105
3,28/4/2008,Truck,4,6401.88,5100173667933942
4,14/4/2013,XK,9,4701.63,5100178367927011
5,12/7/2021,Jetta,3,27543.00,5100130821659540
6,30/5/2016,Jetta,10,3959.38,5100147463048006
7,7/9/2001,1500,7,12020.50,5100139882730850
8,28/6/2022,Mighty Max Macro,4,13457.75,5100175639641693
9,2/12/2010,CL-Class,5,5742.63,5100147701135136
10,3/8/2007,Econoline E350,4,16455.50,5100132145679113
103,12/3/2020,Corsa,5,20000.00,1547854356987546
